,location,total_sqft,bath,price,bhk
2304,Frazer Town,1900.0,4.0,145.0,3
2305,Frazer Town,2560.0,3.0,265.0,3
2306,Frazer Town,2400.0,3.0,260.0,3
2307,Frazer Town,2560.0,3.0,288.0,3
2308,Frazer Town,3436.0,5.0,341.0,4
2310,Frazer Town,1315.0,2.0,140.0,2
2311,Frazer Town,1706.0,3.0,154.0,3
2312,Frazer Town,2079.0,3.0,220.0,3
2313,Frazer Town,3435.0,2.0,341.0,4
2314,Frazer Town,3436.0,5.0,345.0,4
2315,Frazer Town,3100.0,3.0,400.0,3
2316,Frazer Town,5400.0,3.0,400.0,3
2317,Frazer Town,1180.0,2.0,105.0,2
2318,Frazer Town,2900.0,4.0,325.0,4
2319,Frazer Town,1870.0,3.0,180.0,3
2320,Frazer Town,896.0,1.0,100.0,1
2321,Frazer Town,1420.0,2.0,120.0,2
2322,GM Palaya,1820.0,2.0,86.0,3
2323,GM Palaya,1225.0,2.0,47.0,2
2324,GM Palaya,1140.0,2.0,48.95,2
2325,GM Palaya,1315.0,2.0,65.0,3
2326,GM Palaya,1315.0,3.0,65.0,3
2327,GM Palaya,1315.0,3.0,64.0,3
2328,GM Palaya,1735.0,3.0,70.0,3
2329,GM Palaya,1643.0,2.0,70.0,3
2330,Garudachar Palya,1325.0,2.0,60.8,3
2331,Garudachar Palya,1060.0,2.0,48.7,2
2332,Garudachar Palya,1150.0,2.0,52.75,2
2333,Garudachar Palya,1295.0,2.0,59.5,3
2334,Garudachar Palya,1320.0,2.0,60.6,3
2335,Garudachar Palya,1295.0,2.0,59.5,3
2336,Garudachar Palya,1150.0,2.0,52.8,2
2337,Garudachar Palya,1150.0,2.0,52.8,2
2338,Garudachar Palya,1060.0,2.0,48.5,2
2339,Garudachar Palya,1150.0,2.0,52.5,2
2340,Garudachar Palya,1325.0,2.0,60.8,3
2341,Garudachar Palya,1060.0,2.0,48.66,2
2342,Garudachar Palya,1150.0,2.0,52.0,2
2343,Garudachar Palya,1154.0,2.0,51.8,2
2345,Giri Nagar,2400.0,4.0,400.0,4
2346,Giri Nagar,1800.0,3.0,252.0,3
2347,Giri Nagar,1350.0,3.0,240.0,3
2348,Giri Nagar,2400.0,4.0,400.0,4
2349,Giri Nagar,3000.0,4.0,375.0,6
2350,Giri Nagar,2400.0,6.0,400.0,6
2351,Giri Nagar,4000.0,3.0,750.0,4
2352,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2353,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2354,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2355,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2356,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2357,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2358,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2359,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2360,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2361,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2362,Gottigere,1100.0,2.0,40.0,2
2363,Gottigere,967.0,2.0,45.0,2
2364,Gottigere,1618.0,3.0,82.5,3
2365,Gottigere,1222.0,2.0,63.0,2
2367,Gottigere,1300.0,3.0,65.0,3
2368,Gottigere,950.0,2.0,38.0,2
2369,Gottigere,1153.0,2.0,48.5,2
2370,Gottigere,812.0,1.0,26.0,1
2372,Gottigere,1460.0,2.0,65.0,3
2373,Gottigere,1500.0,3.0,70.0,3
2374,Gottigere,1621.0,3.0,72.0,3
2375,Gottigere,812.0,1.0,26.0,1
2376,Gottigere,990.0,2.0,40.0,2
2377,Gottigere,1235.0,2.0,63.0,2
2378,Gottigere,1385.0,3.0,64.0,3
2379,Gottigere,1000.0,2.0,35.0,2
2380,Gottigere,1010.0,2.0,35.0,2
2382,Gottigere,1410.0,2.0,45.0,2
2384,Gottigere,1435.0,2.0,62.0,3
2385,Gottigere,945.0,2.0,45.0,2
2387,Gottigere,2500.0,3.0,120.0,4
2388,Gottigere,1230.0,2.0,52.0,3
2389,Gottigere,1120.0,2.0,50.0,2
2390,Gottigere,1500.0,3.0,63.0,3
2391,Gottigere,1200.0,2.0,40.0,2
2392,Gottigere,1280.0,2.0,61.0,2
2393,Gottigere,1205.0,2.0,56.58,2
2394,Gottigere,1170.0,2.0,40.0,2
2395,Gottigere,3000.0,3.0,132.0,4
2396,Gottigere,1613.0,3.0,72.0,3
2397,Gottigere,1110.0,2.0,36.25,2
2398,Gottigere,1245.0,2.0,59.0,2
2399,Gottigere,1200.0,2.0,50.0,2
2400,Green Glen Layout,1670.0,3.0,120.0,3
2401,Green Glen Layout,3250.0,4.0,230.0,4
2402,Green Glen Layout,1776.42,3.0,105.0,3
2403,Green Glen Layout,3250.0,4.0,230.0,4
2404,Green Glen Layout,940.0,2.0,56.8,2
2405,Green Glen Layout,1075.0,2.0,60.0,2
2406,Green Glen Layout,1715.0,3.0,115.0,3
2407,Green Glen Layout,1751.0,2.0,115.0,3
2408,Green Glen Layout,1750.0,3.0,130.0,3
2409,Green Glen Layout,1530.0,3.0,105.0,3
2410,Green Glen Layout,1752.0,3.0,105.0,3
2411,Green Glen Layout,1680.0,4.0,95.0,3
2412,Green Glen Layout,1728.0,3.0,125.0,3
2413,Green Glen Layout,1645.0,3.0,110.0,3
2414,Green Glen Layout,1517.0,3.0,100.0,3
2415,Green Glen Layout,3150.0,4.0,218.0,4
2417,Green Glen Layout,1750.0,3.0,120.0,3
2418,Green Glen Layout,1751.0,3.0,115.0,3
2419,Green Glen Layout,1750.0,3.0,105.0,3
2420,Green Glen Layout,1885.0,3.0,135.0,3
2421,Green Glen Layout,1715.0,3.0,120.0,3
2422,Green Glen Layout,1623.29,2.0,105.0,3
2423,Green Glen Layout,1715.0,3.0,115.0,3
2424,Green Glen Layout,1715.0,3.0,105.0,3
2425,Green Glen Layout,1600.0,3.0,105.0,3
2426,Green Glen Layout,1717.0,3.0,125.0,3
2427,Green Glen Layout,1250.0,2.0,75.0,2
2428,Green Glen Layout,1715.0,3.0,112.0,3
2429,Gubbalala,1470.0,2.0,82.0,3
2430,Gubbalala,1745.0,3.0,104.0,3
2431,Gubbalala,1745.0,3.0,115.0,3
2432,Gubbalala,1745.0,3.0,110.0,3
2433,Gubbalala,1650.0,3.0,71.0,3
2434,Gubbalala,2570.0,4.0,141.0,5
2435,Gubbalala,1205.0,2.0,70.0,2
2436,Gubbalala,1435.0,2.0,80.0,3
2437,Gubbalala,1475.0,2.0,80.0,2
2439,Gubbalala,1100.0,2.0,49.5,2
2440,Gubbalala,1060.0,2.0,46.0,2
2441,Gubbalala,2000.0,3.0,125.0,3
2443,Gunjur,1140.0,2.0,43.0,2
2444,Gunjur,1356.0,2.0,66.0,3
2445,Gunjur,1600.0,3.0,75.0,3
2446,Gunjur,2000.0,3.0,95.0,4
2447,Gunjur,1140.0,2.0,49.11,2
2448,Gunjur,1195.0,2.0,44.0,2
2449,Gunjur,1190.0,2.0,40.0,2
2450,Gunjur,1457.0,2.0,60.0,2
2451,Gunjur,1080.0,2.0,41.0,2
2454,Gunjur,1175.0,2.0,43.48,2
2455,Gunjur,1362.0,3.0,62.63,3
2456,Gunjur,1071.0,2.0,51.0,2
2457,Gunjur,1063.0,2.0,40.0,2
2458,Gunjur,1235.0,2.0,52.76,2
2459,Gunjur,1362.0,3.0,62.63,3
2460,Gunjur,1362.0,3.0,62.63,3
2461,Gunjur,1588.0,2.0,90.0,3
2462,Gunjur,1235.0,2.0,44.5,2
2463,Gunjur,1457.0,2.0,60.0,2
2464,HAL 2nd Stage,1490.0,2.0,300.0,3
2465,HAL 2nd Stage,2100.0,3.0,252.0,3
2466,HAL 2nd Stage,2700.0,3.0,500.0,3
2467,HAL 2nd Stage,2040.0,4.0,500.0,5
2468,HBR Layout,2800.0,2.0,200.0,3
2469,HBR Layout,1722.0,3.0,95.0,3
2470,HBR Layout,1200.0,2.0,60.0,2
2471,HBR Layout,1004.0,2.0,49.0,2
2472,HBR Layout,1783.0,3.0,125.0,3
2473,HBR Layout,1656.0,3.0,90.0,3
2474,HBR Layout,1089.0,2.0,60.0,2
2475,HBR Layout,1700.0,3.0,110.0,3
2476,HBR Layout,1198.0,2.0,65.0,2
2477,HBR Layout,1200.0,2.0,120.0,2
2478,HBR Layout,1832.0,3.0,160.0,3
2479,HRBR Layout,1374.0,2.0,95.0,2
2480,HRBR Layout,1440.0,2.0,98.0,2
2482,HRBR Layout,2800.0,3.0,250.0,3
2483,HRBR Layout,1210.0,2.0,75.0,2
2484,HRBR Layout,1265.0,2.0,78.0,2
2485,HRBR Layout,1170.0,2.0,75.0,2
2487,HRBR Layout,1900.0,3.0,90.0,4
2488,HRBR Layout,1625.0,3.0,120.0,3
2489,HRBR Layout,1301.0,2.0,120.0,2
2490,HRBR Layout,1145.0,2.0,68.5,2
2491,HRBR Layout,1300.0,2.0,90.0,2
2493,HSR Layout,1372.0,2.0,68.0,2
2495,HSR Layout,1475.0,3.0,75.0,3
2496,HSR Layout,1467.0,2.0,55.0,2
2497,HSR Layout,1140.0,2.0,46.0,2
2498,HSR Layout,1372.0,2.0,61.0,2
2499,HSR Layout,1750.0,3.0,95.0,3
2501,HSR Layout,1027.0,2.0,44.0,2
2502,HSR Layout,1650.0,3.0,110.0,3
2503,HSR Layout,1140.0,2.0,46.0,2
2504,HSR Layout,1372.0,2.0,61.0,2
2505,HSR Layout,1140.0,2.0,46.0,2
2506,HSR Layout,1185.0,2.0,60.0,2
2507,HSR Layout,1127.0,2.0,68.0,2
2508,HSR Layout,1600.0,2.0,115.0,3
2509,HSR Layout,1145.0,2.0,48.0,2
2510,HSR Layout,1009.0,2.0,56.0,2
2511,HSR Layout,1300.0,2.0,98.0,2
2513,HSR Layout,1140.0,2.0,46.0,2
2514,HSR Layout,1126.0,2.0,69.0,2
2516,HSR Layout,1140.0,2.0,46.0,2
2517,HSR Layout,1145.0,2.0,46.0,2
2518,HSR Layout,1142.0,2.0,65.0,2
2519,HSR Layout,1145.0,2.0,46.0,2
2520,HSR Layout,1844.0,3.0,95.0,3
2521,HSR Layout,1203.0,2.0,72.0,2
2522,HSR Layout,1140.0,2.0,46.0,2
2523,HSR Layout,4200.0,5.0,245.0,5
2524,HSR Layout,1140.0,2.0,46.0,2
2525,HSR Layout,1145.0,2.0,46.0,2
2526,HSR Layout,1009.0,2.0,56.0,2
2527,HSR Layout,1145.0,2.0,46.0,2
2528,HSR Layout,1100.0,2.0,44.0,2
2529,HSR Layout,1203.0,2.0,60.0,2
2530,HSR Layout,1120.0,2.0,70.0,2
2531,HSR Layout,1140.0,2.0,46.0,2
2532,HSR Layout,1289.0,2.0,70.0,2
2533,HSR Layout,1844.0,3.0,89.0,3
2534,HSR Layout,1203.0,2.0,60.0,2
2535,HSR Layout,1140.0,2.0,46.0,2
2536,Haralur Road,1240.0,2.0,70.0,2
2537,Haralur Road,1027.0,2.0,44.0,2
2539,Haralur Road,2805.0,5.0,154.0,4
2540,Haralur Road,1194.0,2.0,47.0,2
2541,Haralur Road,1202.0,2.0,53.0,2
2542,Haralur Road,1056.0,2.0,61.0,2
2544,Haralur Road,1810.0,3.0,100.0,3
2545,Haralur Road,1194.0,2.0,46.0,2
2546,Haralur Road,2805.0,4.0,154.0,4
2547,Haralur Road,1225.0,2.0,67.38,2
2548,Haralur Road,1243.0,2.0,46.0,2
2549,Haralur Road,1027.0,2.0,44.0,2
2550,Haralur Road,1920.0,3.0,115.0,3
2551,Haralur Road,1875.0,3.0,110.0,3
2552,Haralur Road,1194.0,2.0,47.0,2
2553,Haralur Road,1140.0,2.0,43.0,2
2554,Haralur Road,1027.0,2.0,44.0,2
2555,Haralur Road,1194.0,2.0,46.0,2
2556,Haralur Road,2017.0,3.0,125.0,3
2557,Haralur Road,1140.0,2.0,43.0,2
2558,Haralur Road,1875.0,3.0,110.0,3
2559,Haralur Road,1092.0,2.0,44.0,2
2560,Haralur Road,2475.0,4.0,130.0,3
2561,Haralur Road,1300.0,2.0,73.0,2
2562,Haralur Road,1194.0,2.0,47.0,2
2563,Haralur Road,1243.0,2.0,46.0,2
2564,Haralur Road,1850.0,3.0,110.0,3
2565,Haralur Road,1225.0,2.0,67.38,2
2566,Haralur Road,1243.0,2.0,46.0,2
2567,Haralur Road,1464.0,2.0,56.0,2
2568,Haralur Road,1230.0,2.0,78.0,2
2569,Haralur Road,1000.0,2.0,44.0,2
2570,Haralur Road,3185.0,2.0,175.0,4
2571,Haralur Road,1300.0,2.0,79.0,2
2572,Haralur Road,1444.0,2.0,80.0,3
2573,Haralur Road,1088.0,2.0,68.0,2
2574,Haralur Road,1027.0,2.0,44.0,2
2576,Haralur Road,1225.0,2.0,70.0,2
2578,Haralur Road,1194.0,2.0,46.0,2
2579,Haralur Road,1830.0,3.0,101.0,3
2580,Haralur Road,1464.0,2.0,56.0,2
2581,Haralur Road,1520.0,2.0,96.0,3
2582,Haralur Road,1300.0,2.0,75.0,2
2583,Haralur Road,2017.0,2.0,125.0,3
2584,Haralur Road,1243.0,2.0,46.0,2
2585,Haralur Road,1027.0,2.0,44.0,2
2586,Haralur Road,2805.0,5.0,160.0,4
2587,Haralur Road,1243.0,2.0,46.0,2
2588,Haralur Road,1027.0,2.0,44.0,2
2589,Haralur Road,2017.0,3.0,105.0,3
2590,Haralur Road,1243.0,2.0,46.0,2
2591,Haralur Road,1243.0,2.0,46.0,2
2592,Haralur Road,1520.0,2.0,90.0,3
2593,Haralur Road,1300.0,2.0,60.0,2
2594,Haralur Road,1985.0,3.0,130.0,3
2595,Haralur Road,1056.0,2.0,60.0,2
2596,Haralur Road,1140.0,2.0,42.0,2
2597,Haralur Road,1245.0,2.0,62.0,2
2598,Haralur Road,1140.0,2.0,58.0,2
2599,Haralur Road,1140.0,2.0,42.0,2
2600,Haralur Road,1027.0,2.0,43.0,2
2601,Haralur Road,1194.0,2.0,47.0,2
2602,Haralur Road,1194.0,2.0,47.0,2
2603,Haralur Road,1560.0,3.0,90.0,3
2604,Haralur Road,1520.0,2.0,85.0,3
2605,Haralur Road,1243.0,2.0,45.0,2
2606,Haralur Road,1027.0,2.0,44.0,2
2607,Haralur Road,1194.0,2.0,46.0,2
2608,Haralur Road,1650.0,3.0,100.0,3
2609,Haralur Road,1580.0,3.0,73.0,3
2610,Haralur Road,1243.0,2.0,46.0,2
2611,Haralur Road,1194.0,2.0,47.0,2
2612,Haralur Road,2805.0,4.0,154.0,4
2613,Haralur Road,1520.0,2.0,96.0,3
2614,Haralur Road,1510.0,3.0,83.05,3
2615,Haralur Road,1056.0,2.0,65.0,2
2616,Haralur Road,1810.0,3.0,100.0,3
2617,Haralur Road,1243.0,2.0,46.0,2
2618,Haralur Road,575.0,1.0,38.0,1
2619,Haralur Road,1194.0,2.0,46.0,2
2620,Haralur Road,1243.0,2.0,46.0,2
2621,Haralur Road,1194.0,2.0,46.0,2
2622,Haralur Road,1140.0,2.0,43.0,2
2623,Haralur Road,1850.0,3.0,120.0,3
2624,Haralur Road,1194.0,2.0,47.0,2
2625,Haralur Road,1194.0,2.0,47.0,2
2627,Haralur Road,1243.0,2.0,46.0,2
2628,Haralur Road,1710.0,3.0,85.0,3
2629,Haralur Road,1730.0,3.0,95.0,3
2630,Haralur Road,1243.0,2.0,46.0,2
2631,Haralur Road,1243.0,2.0,46.0,2
2632,Haralur Road,1243.0,2.0,46.0,2
2633,Haralur Road,1817.0,3.0,110.0,3
2634,Haralur Road,1225.0,2.0,77.0,2
2635,Haralur Road,1285.0,2.0,78.0,2
2636,Haralur Road,1225.0,2.0,67.48,2
2637,Haralur Road,1225.0,2.0,69.84,2
2638,Haralur Road,1200.0,2.0,46.0,2
2639,Haralur Road,1315.0,2.0,85.0,2
2640,Haralur Road,1976.0,3.0,92.0,3
2641,Haralur Road,1300.0,2.0,75.0,2
2642,Haralur Road,1309.0,2.0,82.0,2
2643,Haralur Road,1027.0,1.0,44.0,2
2644,Haralur Road,1243.0,2.0,46.0,2
2645,Haralur Road,1243.0,2.0,46.0,2
2646,Haralur Road,1140.0,2.0,43.0,2
2647,Haralur Road,1300.0,2.0,75.0,2
2648,Haralur Road,1243.0,2.0,46.0,2
2649,Haralur Road,1890.0,3.0,84.0,3
2650,Haralur Road,1230.0,2.0,67.65,2
2651,Haralur Road,1194.0,2.0,46.0,2
2652,Haralur Road,1092.0,2.0,44.0,2
2654,Haralur Road,1735.0,3.0,97.0,3
2655,Haralur Road,1810.0,3.0,97.83,3
2656,Haralur Road,1200.0,2.0,46.0,2
2657,Haralur Road,1243.0,2.0,46.0,2
2658,Haralur Road,1810.0,3.0,112.0,3
2659,Harlur,1174.0,2.0,69.0,2
2660,Harlur,1197.0,2.0,84.0,2
2661,Harlur,1757.0,3.0,132.0,3
2662,Harlur,1174.0,2.0,76.0,2
2663,Harlur,1754.0,3.0,125.0,3
2664,Harlur,1290.0,2.0,85.0,2
2665,Harlur,1752.12,3.0,116.0,3
2666,Harlur,1754.0,3.0,124.0,3
2667,Harlur,1152.0,2.0,69.0,2
2668,Harlur,1290.0,2.0,87.0,2
2669,Harlur,1749.0,3.0,115.0,3
2670,Harlur,2240.0,5.0,155.0,3
2671,Harlur,1758.0,3.0,133.0,3
2673,Harlur,1197.0,2.0,79.0,2
2674,Harlur,1174.0,2.0,78.0,2
2676,Harlur,1197.0,2.0,79.0,2
2678,Harlur,1174.0,2.0,75.0,2
2679,Harlur,1620.0,3.0,110.0,3
2682,Harlur,1762.0,3.0,133.0,3
2683,Harlur,1756.0,3.0,131.0,3
2684,Harlur,1755.0,3.0,130.0,3
2685,Harlur,1864.0,3.0,140.0,3
2686,Harlur,1331.0,2.0,88.0,2
2687,Harlur,1756.0,3.0,128.0,3
2688,Harlur,1749.0,3.0,120.0,3
2689,Harlur,1197.0,2.0,82.0,2
2690,Harlur,1303.0,2.0,90.0,2
2691,Harlur,1754.0,3.0,132.0,3
2692,Harlur,1174.0,2.0,75.0,2
2693,Harlur,1197.0,2.0,78.0,2
2694,Harlur,1290.0,2.0,89.9,2
2695,Harlur,1386.0,2.0,85.0,2
2696,Harlur,1174.0,2.0,74.0,2
2697,Harlur,1174.0,2.0,78.0,2
2698,Harlur,1755.0,3.0,115.0,3
2701,Harlur,1197.0,2.0,77.0,2
2702,Harlur,1752.12,3.0,125.0,3
2703,Harlur,2569.0,5.0,180.0,4
2704,Harlur,1197.0,2.0,76.0,2
2705,Harlur,1197.0,2.0,75.0,2
2706,Harlur,1755.0,3.0,117.0,3
2707,Harlur,1197.0,2.0,79.9,2
2708,Harlur,2990.0,4.0,225.0,4
2709,Harlur,1370.0,2.0,88.0,2
2710,Harlur,1335.0,2.0,72.76,2
2711,Hebbal,1760.0,2.0,123.0,3
2712,Hebbal,5611.5,4.0,477.0,4
2714,Hebbal,1349.0,2.0,98.2,2
2715,Hebbal,2483.0,5.0,212.0,4
2716,Hebbal,1760.0,2.0,130.0,3
2717,Hebbal,3450.0,5.0,260.0,3
2718,Hebbal,1920.0,3.0,134.0,3
2719,Hebbal,1337.0,2.0,82.0,2
2720,Hebbal,1349.0,2.0,98.0,2
2723,Hebbal,1790.0,3.0,127.0,3
2724,Hebbal,687.325,2.0,42.72,2
2725,Hebbal,2790.0,5.0,198.0,4
2726,Hebbal,1985.0,4.0,189.0,3
2727,Hebbal,2483.0,5.0,215.0,4
2728,Hebbal,1080.0,2.0,54.0,2
2729,Hebbal,812.0,2.0,55.0,2
2730,Hebbal,2790.0,4.0,198.0,4
2731,Hebbal,3067.0,4.0,230.0,4
2732,Hebbal,3067.0,4.0,230.0,4
2734,Hebbal,823.0,2.0,50.63,2
2735,Hebbal,1420.0,2.0,123.0,2
2737,Hebbal,1420.0,2.0,99.39,2
2738,Hebbal,4235.0,4.0,365.0,4
2739,Hebbal,1700.0,3.0,124.0,3
2740,Hebbal,3960.0,5.0,386.0,4
2741,Hebbal,1420.0,2.0,99.39,2
2743,Hebbal,1440.0,2.0,115.0,2
2745,Hebbal,2400.0,4.0,180.0,3
2747,Hebbal,1420.0,2.0,107.0,2
2748,Hebbal,1320.0,2.0,92.0,2
2749,Hebbal,919.0,2.0,49.0,2
2750,Hebbal,1645.0,3.0,135.0,3
2751,Hebbal,2080.0,3.0,175.0,3
2753,Hebbal,2483.0,5.0,230.0,4
2754,Hebbal,2600.0,3.0,195.0,3
2755,Hebbal,1645.0,3.0,117.0,3
2756,Hebbal,1251.0,2.0,88.73,2
2757,Hebbal,1645.0,3.0,121.0,3
2758,Hebbal,1760.0,3.0,123.0,3
2759,Hebbal,2790.0,4.0,198.0,4
2760,Hebbal,3960.0,5.0,386.0,4
2761,Hebbal,1645.0,3.0,120.0,3
2762,Hebbal,1255.0,2.0,90.0,3
2763,Hebbal,1645.0,3.0,117.0,3
2766,Hebbal,1636.0,3.0,119.0,3
2767,Hebbal,2661.0,2.0,226.5,3
2768,Hebbal,1255.0,2.0,95.0,3
2769,Hebbal,2790.0,4.0,198.0,4
2771,Hebbal,1255.0,2.0,95.0,3
2772,Hebbal,1088.0,2.0,61.45,2
2773,Hebbal,1349.0,2.0,97.8,2
2775,Hebbal,1344.0,2.0,108.0,2
2776,Hebbal,1255.0,2.0,90.0,3
2778,Hebbal,1138.0,2.0,110.0,2
2779,Hebbal,2790.0,5.0,204.0,4
2780,Hebbal,1088.0,2.0,62.0,2
2781,Hebbal,1987.0,4.0,165.0,3
2782,Hebbal,2790.0,5.0,198.0,4
2783,Hebbal,1299.0,2.0,100.0,2
2784,Hebbal,1200.0,2.0,60.0,2
2785,Hebbal,1645.0,3.0,117.0,3
2786,Hebbal,1390.0,2.0,95.0,2
2787,Hebbal,1333.0,2.0,100.0,2
2789,Hebbal,2650.0,4.0,199.0,3
2790,Hebbal,1800.0,3.0,140.0,3
2792,Hebbal,2470.0,4.0,203.0,4
2793,Hebbal,1255.0,2.0,95.0,3
2794,Hebbal,1333.0,2.0,104.0,2
2795,Hebbal,1645.0,3.0,117.0,3
2796,Hebbal,2600.0,3.0,199.0,3
2797,Hebbal,1345.0,2.0,97.0,2
2799,Hebbal,985.0,2.0,62.0,2
2800,Hebbal,1320.0,2.0,91.0,2
2801,Hebbal,2388.0,3.0,195.0,3
2802,Hebbal,1040.0,2.0,55.0,2
2804,Hebbal,2600.0,3.0,195.0,3
2805,Hebbal,2630.0,5.0,188.0,4
2806,Hebbal,2790.0,5.0,198.0,4
2807,Hebbal,1645.0,3.0,113.0,3
2809,Hebbal,1420.0,2.0,99.39,2
2811,Hebbal,3520.0,5.0,320.0,3
2812,Hebbal,1162.0,2.0,69.0,2
2813,Hebbal,1100.0,2.0,60.0,2
2814,Hebbal,4235.0,5.0,364.0,4
2815,Hebbal,1299.0,2.0,97.0,2
2817,Hebbal,2470.0,5.0,192.0,4
2818,Hebbal,1645.0,3.0,117.0,3
2819,Hebbal,1920.0,3.0,134.0,3
2821,Hebbal,1920.0,3.0,150.0,3
2822,Hebbal,2375.0,4.0,189.0,4
2823,Hebbal,1420.0,2.0,99.26,2
2824,Hebbal,1252.0,2.0,92.0,2
2825,Hebbal,2790.0,4.0,198.0,4
2826,Hebbal,1162.0,2.0,59.0,2
2827,Hebbal,1294.0,2.0,115.0,2
2828,Hebbal,4225.0,6.0,359.0,4
2829,Hebbal,1150.0,2.0,57.0,2
2830,Hebbal,1740.0,2.0,137.0,3
2832,Hebbal,1662.0,3.0,155.0,3
2833,Hebbal,2250.0,3.0,219.0,3
2834,Hebbal,1349.0,2.0,98.0,2
2835,Hebbal,4000.0,6.0,370.0,4
2836,Hebbal,1349.0,2.0,96.8,2
2837,Hebbal Kempapura,1700.0,3.0,155.0,3
2838,Hebbal Kempapura,1800.0,3.0,175.0,3
2839,Hebbal Kempapura,2900.0,4.0,300.0,3
2840,Hebbal Kempapura,3522.0,3.0,380.0,3
2841,Hebbal Kempapura,2280.0,5.0,200.0,5
2842,Hebbal Kempapura,1200.0,2.0,125.0,2
2843,Hebbal Kempapura,2900.0,4.0,240.0,3
2845,Hebbal Kempapura,1300.0,2.0,102.0,2
2846,Hebbal Kempapura,1466.0,2.0,140.0,3
2848,Hebbal Kempapura,1725.0,2.0,165.0,3
2849,Hebbal Kempapura,1200.0,3.0,125.0,3
2850,Hebbal Kempapura,3408.0,3.0,260.0,3
2851,Hebbal Kempapura,1485.0,3.0,132.0,2
2852,Hebbal Kempapura,1400.0,2.0,108.0,2
2853,Hebbal Kempapura,1800.0,3.0,150.0,3
2854,Hebbal Kempapura,2400.0,5.0,200.0,5
2855,Hebbal Kempapura,2800.0,5.0,220.0,5
2856,Hebbal Kempapura,1785.0,3.0,165.0,3
2857,Hebbal Kempapura,3729.0,4.0,384.0,4
2858,Hebbal Kempapura,1600.0,3.0,170.0,3
2859,Hebbal Kempapura,1730.0,3.0,175.0,3
2861,Hegde Nagar,1569.0,3.0,101.0,3
2862,Hegde Nagar,3000.0,7.0,210.0,6
2863,Hegde Nagar,2026.0,3.0,132.0,3
2864,Hegde Nagar,1801.0,3.0,115.0,3
2865,Hegde Nagar,1050.0,1.0,56.0,2
2866,Hegde Nagar,1341.0,2.0,97.0,2
2867,Hegde Nagar,2112.95,4.0,145.0,3
2868,Hegde Nagar,1703.0,3.0,113.0,3
2869,Hegde Nagar,1570.0,3.0,105.0,3
2870,Hegde Nagar,1801.0,3.0,140.0,3
2871,Hegde Nagar,1584.01,3.0,103.0,3
2872,Hegde Nagar,1965.0,4.0,125.0,3
2873,Hegde Nagar,1200.0,2.0,75.0,2
2874,Hegde Nagar,1847.0,3.0,135.0,3
2875,Hegde Nagar,1965.0,4.0,132.0,3
2876,Hegde Nagar,1703.0,3.0,125.0,3
2877,Hegde Nagar,1847.0,3.0,125.0,3
2878,Hegde Nagar,2144.6,4.0,145.0,3
2879,Hegde Nagar,1718.0,3.0,119.0,3
2880,Hegde Nagar,1847.0,3.0,123.0,3
2881,Hegde Nagar,1340.0,2.0,72.0,2
2882,Hegde Nagar,2087.01,3.0,115.0,3
2883,Hegde Nagar,1703.0,3.0,130.0,3
2884,Hegde Nagar,2087.01,4.0,135.0,3
2885,Hegde Nagar,1718.0,3.0,130.0,3
2886,Hegde Nagar,1884.0,4.0,118.0,3
2887,Hegde Nagar,1930.0,4.0,122.0,3
2888,Hegde Nagar,1584.01,3.0,104.0,3
2889,Hegde Nagar,1168.0,2.0,68.0,3
2890,Hegde Nagar,2162.03,4.0,129.0,3
2891,Hegde Nagar,2087.01,4.0,160.0,3
2892,Hegde Nagar,1000.0,2.0,66.0,2
2893,Hegde Nagar,1348.0,2.0,80.5,3
2894,Hennur,1075.0,2.0,52.0,2
2895,Hennur,1255.0,2.0,52.32,2
2896,Hennur,1225.0,2.0,57.0,2
2897,Hennur,1255.0,2.0,57.5,2
2898,Hennur,1259.0,2.0,57.0,2
2899,Hennur,1255.0,2.0,53.5,2
2900,Hennur,1285.0,2.0,60.0,2
2901,Hennur,1285.0,2.0,60.0,2
2902,Hennur,1100.0,2.0,60.0,2
2903,Hennur,1231.0,2.0,48.0,2
2904,Hennur,1255.0,2.0,58.0,2
2905,Hennur,1040.0,2.0,42.12,2
2906,Hennur,1255.0,2.0,54.5,2
2907,Hennur,1041.0,2.0,40.6,2
2909,Hennur,1255.0,2.0,55.5,2
2911,Hennur,1231.0,2.0,50.0,2
2912,Hennur,2500.0,5.0,125.0,5
2913,Hennur,1160.0,2.0,49.0,2
2914,Hennur,2400.0,3.0,135.0,3
2915,Hennur,1255.0,2.0,53.5,2
2916,Hennur,1255.0,2.0,55.5,2
2917,Hennur,1100.0,2.0,44.55,2
2918,Hennur,1255.0,2.0,57.5,2
2919,Hennur,960.0,2.0,48.0,2
2920,Hennur,1020.0,2.0,48.0,2
2921,Hennur,1255.0,2.0,52.32,2
